file,dataset,librosa_F,v1_F,v2_F,gt_beats,lb_F_30,v1_F_30,v2_F_30,lb_F_50,v1_F_50,v2_F_50,lb_F_70,v1_F_70,v2_F_70,lb_F_90,v1_F_90,v2_F_90
reggae.00075.wav,GTZAN,0.979,0.9517,0.9583,72,0.7273,0.4966,0.5417,0.965,0.8552,0.8611,0.979,0.9517,0.9583,0.993,0.9931,0.9861
Media-105906.wav,Ballroom,0.6992,0.717,0.8414,66,0.1789,0.5283,0.6897,0.5366,0.6792,0.8276,0.6992,0.717,0.8414,0.7154,0.7296,0.869
blues.00074.wav,GTZAN,0.991,0.8739,0.8966,56,0.6486,0.7899,0.8276,0.955,0.8739,0.8966,0.991,0.8739,0.8966,0.991,0.8739,0.8966
Media-106116.wav,Ballroom,0.9884,0.96,0.977,85,0.407,0.8,0.8851,0.9651,0.9486,0.977,0.9884,0.96,0.977,0.9884,0.96,0.977
022.wav,Hainsworth,0.641,0.495,0.622,52,0.2179,0.4356,0.5854,0.5385,0.495,0.622,0.641,0.495,0.622,0.6667,0.495,0.6341
Albums-StrictlyDancing_Tango-02.wav,Ballroom,0.9474,0.9483,0.9825,57,0.0877,0.8966,0.9825,0.7193,0.931,0.9825,0.9474,0.9483,0.9825,0.9474,0.9483,0.9825
metal.00005.wav,GTZAN,0.974,0.9744,0.9333,77,0.4675,0.8077,0.88,0.961,0.9487,0.9333,0.974,0.9744,0.9333,0.987,0.9744,0.9333
hiphop.00037.wav,GTZAN,0.5872,0.5366,0.6139,37,0.3853,0.3902,0.4554,0.5688,0.5366,0.6139,0.5872,0.5366,0.6139,0.6606,0.5366,0.6139
country.00067.wav,GTZAN,0.875,0.6458,0.7143,32,0.5312,0.3958,0.5476,0.8438,0.5833,0.6667,0.875,0.6458,0.7143,0.9062,0.6458,0.7381
Media-103410.wav,Ballroom,0.887,0.7949,0.9841,62,0.1739,0.7949,0.9841,0.8,0.7949,0.9841,0.887,0.7949,0.9841,0.887,0.7949,0.9841
hiphop.00046.wav,GTZAN,0.9574,0.9796,0.9796,49,0.8723,0.8163,0.9592,0.9574,0.9592,0.9592,0.9574,0.9796,0.9796,0.9574,0.9796,0.9796
Media-103606.wav,Ballroom,0.2264,0.512,0.5607,39,0.0566,0.448,0.5421,0.1698,0.496,0.5607,0.2264,0.512,0.5607,0.283,0.528,0.5607
jazz.00008.wav,GTZAN,0.8224,0.8718,0.8926,55,0.486,0.6325,0.7107,0.785,0.8034,0.7934,0.8224,0.8718,0.8926,0.8785,0.906,0.9091
disco.00095.wav,GTZAN,0.9833,0.9756,0.9917,60,0.55,0.9106,0.9091,0.9833,0.9756,0.9917,0.9833,0.9756,0.9917,0.9833,0.9756,0.9917
jazz.00068.wav,GTZAN,0.8857,0.5825,0.8,37,0.4857,0.4272,0.4941,0.8286,0.5437,0.7529,0.8857,0.5825,0.8,0.8857,0.6602,0.8235
classical.00049.wav,GTZAN,0.3516,0.3119,0.2913,38,0.2418,0.1101,0.1748,0.3077,0.2752,0.233,0.3516,0.3119,0.2913,0.3516,0.367,0.3301
00_Jazz3-137-Eb_comp_mix.wav,GuitarSet,0.5,0.3297,0.2192,64,0.3438,0.1319,0.0822,0.4375,0.2857,0.1918,0.5,0.3297,0.2192,0.5312,0.3736,0.2466
Albums-Cafe_Paradiso-06.wav,Ballroom,0.9286,0.876,0.9298,53,0.375,0.7934,0.9123,0.9107,0.876,0.9298,0.9286,0.876,0.9298,0.9286,0.876,0.9298
rock.00088.wav,GTZAN,0.9302,0.9462,1.0,46,0.7442,0.8172,0.9348,0.907,0.9462,1.0,0.9302,0.9462,1.0,0.9302,0.9677,1.0
pop.00016.wav,GTZAN,0.7778,0.8522,0.8545,55,0.7556,0.6609,0.7818,0.7778,0.8,0.8364,0.7778,0.8522,0.8545,0.7778,0.887,0.8909
disco.00081.wav,GTZAN,0.3774,0.7308,0.8722,65,0.2264,0.6795,0.797,0.3774,0.7308,0.8722,0.3774,0.7308,0.8722,0.3774,0.7436,0.8722
pop.00050.wav,GTZAN,0.6415,0.6087,0.6364,35,0.4528,0.4,0.5818,0.6415,0.5913,0.6364,0.6415,0.6087,0.6364,0.6415,0.6087,0.6364
disco.00057.wav,GTZAN,0.9828,1.0,1.0,59,0.6379,0.9661,0.9831,0.9828,1.0,1.0,0.9828,1.0,1.0,0.9828,1.0,1.0
country.00092.wav,GTZAN,0.0,0.0473,0.0121,82,0.0,0.0237,0.0,0.0,0.0473,0.0121,0.0,0.0473,0.0121,0.0,0.0473,0.0121
Media-105705.wav,Ballroom,0.6604,0.8657,0.9173,63,0.6415,0.5075,0.5865,0.6604,0.8657,0.9023,0.6604,0.8657,0.9173,0.6604,0.8657,0.9323
089.wav,Hainsworth,0.9911,0.9912,0.9956,113,0.5446,0.9292,0.9689,0.9554,0.9823,0.9956,0.9911,0.9912,0.9956,0.9911,1.0,0.9956
pop.00002.wav,GTZAN,0.4,0.9683,0.9683,63,0.2667,0.9206,0.9683,0.4,0.9683,0.9683,0.4,0.9683,0.9683,0.4,0.9683,0.9683
classical.00078.wav,GTZAN,0.8621,0.5714,0.6761,33,0.4828,0.2857,0.3099,0.8276,0.4286,0.507,0.8621,0.5714,0.6761,0.8621,0.5714,0.6761
rock.00020.wav,GTZAN,0.8776,0.6412,0.6164,50,0.5714,0.4275,0.4521,0.6939,0.5802,0.5616,0.8776,0.6412,0.6164,0.8776,0.687,0.6438
Media-103506.wav,Ballroom,0.2637,0.7778,0.9583,46,0.1319,0.6296,0.8958,0.2418,0.7778,0.9583,0.2637,0.7778,0.9583,0.2637,0.7778,0.9583
107.wav,Hainsworth,0.4053,0.6569,0.7541,123,0.0705,0.6131,0.7049,0.2819,0.6423,0.7541,0.4053,0.6569,0.7541,0.4581,0.6569,0.7541
disco.00009.wav,GTZAN,0.9683,0.9924,0.9922,65,0.6984,0.9008,0.9147,0.9683,0.9924,0.9922,0.9683,0.9924,0.9922,0.9683,0.9924,0.9922
country.00074.wav,GTZAN,0.66,0.5385,0.5918,34,0.32,0.3269,0.449,0.62,0.5192,0.5714,0.66,0.5385,0.5918,0.66,0.5577,0.6122
Media-105419.wav,Ballroom,0.5,0.5946,0.7541,25,0.24,0.4595,0.7213,0.44,0.5946,0.7541,0.5,0.5946,0.7541,0.5,0.6216,0.7869
blues.00047.wav,GTZAN,0.9054,0.8951,0.8971,75,0.3514,0.6573,0.5882,0.7703,0.8392,0.8529,0.9054,0.8951,0.8971,0.9595,0.9231,0.8971
Media-104011.wav,Ballroom,0.9787,0.768,0.9792,48,0.3617,0.752,0.9792,0.9787,0.768,0.9792,0.9787,0.768,0.9792,0.9787,0.768,0.9792
country.00075.wav,GTZAN,0.9375,0.8785,0.9796,48,0.6042,0.5421,0.8776,0.9167,0.7664,0.9184,0.9375,0.8785,0.9796,0.9375,0.8785,0.9796
Albums-Chrisanne3-15.wav,Ballroom,0.5563,0.7368,0.8571,102,0.1854,0.6105,0.7755,0.3444,0.6947,0.8367,0.5563,0.7368,0.8571,0.6093,0.7684,0.8673
metal.00041.wav,GTZAN,0.9915,0.9016,0.906,59,0.4786,0.8525,0.8547,0.906,0.8689,0.8889,0.9915,0.9016,0.906,0.9915,0.9016,0.9402
152.wav,Hainsworth,0.2353,0.4643,0.4324,25,0.1176,0.2857,0.2703,0.1176,0.3571,0.3784,0.2353,0.4643,0.4324,0.3137,0.4643,0.4865
Albums-Latin_Jam-04.wav,Ballroom,1.0,0.9922,1.0,64,0.4531,0.9302,1.0,0.9844,0.9922,1.0,1.0,0.9922,1.0,1.0,0.9922,1.0
pop.00091.wav,GTZAN,0.9913,0.9915,1.0,58,0.487,0.9573,0.9828,0.9913,0.9744,1.0,0.9913,0.9915,1.0,0.9913,0.9915,1.0
reggae.00099.wav,GTZAN,0.5952,0.78,0.7135,118,0.3333,0.67,0.6486,0.5714,0.77,0.7027,0.5952,0.78,0.7135,0.5952,0.8,0.7135
classical.00061.wav,GTZAN,0.9804,0.961,0.9315,77,0.4052,0.7792,0.7945,0.8627,0.9091,0.9041,0.9804,0.961,0.9315,0.9935,0.974,0.9452
pop.00019.wav,GTZAN,0.9438,0.9485,0.9787,47,0.764,0.8041,0.9362,0.9438,0.9485,0.9787,0.9438,0.9485,0.9787,0.9438,0.9485,0.9787
02_Jazz2-110-Bb_comp_mix.wav,GuitarSet,0.8189,0.4615,0.439,64,0.2677,0.3297,0.3902,0.5984,0.4176,0.439,0.8189,0.4615,0.439,0.9764,0.4835,0.439
04_SS2-107-Ab_comp_mix.wav,GuitarSet,0.2993,0.629,0.7603,64,0.0544,0.5161,0.6446,0.1905,0.6129,0.7438,0.2993,0.629,0.7603,0.4218,0.6452,0.7769
Media-104609.wav,Ballroom,0.9659,0.978,0.989,91,0.3864,0.8791,0.967,0.8977,0.967,0.989,0.9659,0.978,0.989,0.9659,0.978,0.989
metal.00009.wav,GTZAN,0.973,0.6,0.6803,57,0.6306,0.3625,0.5578,0.973,0.55,0.6395,0.973,0.6,0.6803,0.973,0.6,0.6803
03_SS1-68-E_comp_mix.wav,GuitarSet,0.3448,0.5185,0.3478,48,0.1034,0.4259,0.2319,0.2414,0.5,0.3188,0.3448,0.5185,0.3478,0.3448,0.5185,0.3478
Media-105517.wav,Ballroom,0.539,0.9552,0.9849,100,0.1277,0.8955,0.9648,0.2695,0.9552,0.9849,0.539,0.9552,0.9849,0.5816,0.9652,0.9849
Media-103407.wav,Ballroom,0.9667,0.9531,0.9841,62,0.4167,0.9531,0.9841,0.95,0.9531,0.9841,0.9667,0.9531,0.9841,0.9667,0.9531,0.9841
05_SS3-98-C_comp_mix.wav,GuitarSet,0.3522,0.5507,0.4112,64,0.1258,0.4348,0.3551,0.2264,0.5217,0.3925,0.3522,0.5507,0.4112,0.3899,0.5507,0.4112
00_Funk2-108-Eb_comp_mix.wav,GuitarSet,0.2993,0.3238,0.5192,64,0.0816,0.2095,0.4231,0.2177,0.3238,0.5192,0.2993,0.3238,0.5192,0.381,0.3238,0.5385
classical.00039.wav,GTZAN,0.2718,0.2031,0.1235,33,0.1553,0.1094,0.0494,0.2524,0.1719,0.1235,0.2718,0.2031,0.1235,0.2913,0.2188,0.1481
00_SS3-84-Bb_comp_mix.wav,GuitarSet,0.1575,0.4356,0.3117,64,0.0315,0.2574,0.1818,0.0787,0.3564,0.2857,0.1575,0.4356,0.3117,0.2677,0.4356,0.3117
02_SS2-88-F_comp_mix.wav,GuitarSet,0.3932,0.6119,0.3678,64,0.0513,0.2836,0.1839,0.1709,0.4478,0.3218,0.3932,0.6119,0.3678,0.6496,0.6418,0.4138
Albums-Ballroom_Classics4-03.wav,Ballroom,0.5882,0.8211,0.8636,43,0.2824,0.6316,0.7045,0.4,0.7368,0.7955,0.5882,0.8211,0.8636,0.6353,0.8421,0.8636
blues.00076.wav,GTZAN,0.9739,0.9587,0.95,58,0.7652,0.5455,0.8,0.9565,0.9256,0.95,0.9739,0.9587,0.95,0.9739,0.9587,0.95
classical.00096.wav,GTZAN,0.9254,0.7733,0.8741,67,0.4478,0.5067,0.5926,0.7761,0.6667,0.7704,0.9254,0.7733,0.8741,0.9552,0.8133,0.8741
rock.00083.wav,GTZAN,0.9573,1.0,1.0,61,0.3419,0.918,0.8525,0.9402,1.0,1.0,0.9573,1.0,1.0,0.9573,1.0,1.0
208.wav,Hainsworth,0.8933,0.7568,0.9441,78,0.0533,0.6703,0.8571,0.5467,0.7568,0.9317,0.8933,0.7568,0.9441,0.96,0.7784,0.9441
Albums-Latino_Latino-05.wav,Ballroom,0.8624,0.813,0.9123,55,0.2018,0.6667,0.8596,0.6422,0.7967,0.8947,0.8624,0.813,0.9123,0.9174,0.813,0.9123
jazz.00038.wav,GTZAN,0.8904,0.8322,0.8874,75,0.411,0.6577,0.6887,0.863,0.7651,0.8344,0.8904,0.8322,0.8874,0.9726,0.8456,0.8874
Media-103515.wav,Ballroom,0.6555,0.8844,0.9937,79,0.1513,0.8571,0.9937,0.605,0.8844,0.9937,0.6555,0.8844,0.9937,0.6555,0.8844,0.9937
rock.00018.wav,GTZAN,0.906,0.9167,0.9268,59,0.3248,0.8333,0.7805,0.8889,0.9167,0.9268,0.906,0.9167,0.9268,0.9744,0.9167,0.9268
country.00002.wav,GTZAN,0.5641,0.88,0.9878,83,0.2051,0.7067,0.8902,0.4786,0.8667,0.9756,0.5641,0.88,0.9878,0.5812,0.88,0.9878
Media-106107.wav,Ballroom,0.9263,0.9333,0.932,49,0.3368,0.819,0.9126,0.9263,0.9143,0.932,0.9263,0.9333,0.932,0.9263,0.9333,0.932
disco.00079.wav,GTZAN,0.9917,1.0,1.0,61,0.7107,1.0,0.9836,0.9917,1.0,1.0,0.9917,1.0,1.0,0.9917,1.0,1.0
112.wav,Hainsworth,0.9891,0.6847,0.6624,138,0.1673,0.6306,0.6433,0.7636,0.6727,0.6624,0.9891,0.6847,0.6624,0.9964,0.7087,0.6815
rock.00057.wav,GTZAN,0.9839,0.9688,0.9844,63,0.5968,0.875,0.9688,0.9839,0.9688,0.9844,0.9839,0.9688,0.9844,0.9839,0.9688,0.9844
Media-105414.wav,Ballroom,0.5984,0.8914,0.9708,86,0.0157,0.8457,0.9591,0.3622,0.8914,0.9708,0.5984,0.8914,0.9708,0.6142,0.9029,0.9708
