file,dataset,librosa_F,v1_F,v2_F,gt_beats
SMC_001.wav,SMC,0.5938,0.4381,0.4375,32
SMC_002.wav,SMC,0.2772,0.443,0.4895,44
SMC_003.wav,SMC,0.3359,0.4607,0.4366,44
SMC_004.wav,SMC,0.3511,0.5217,0.7,37
SMC_005.wav,SMC,0.2222,0.2169,0.2651,27
SMC_006.wav,SMC,0.3939,0.6609,0.7184,40
SMC_007.wav,SMC,0.2476,0.4545,0.4494,34
SMC_008.wav,SMC,0.5412,0.3333,0.4156,90
SMC_009.wav,SMC,0.3537,0.3333,0.4,37
SMC_010.wav,SMC,0.2314,0.6202,0.7843,50
SMC_011.wav,SMC,0.4918,0.6822,0.7619,56
SMC_012.wav,SMC,0.257,0.4394,0.4496,58
SMC_013.wav,SMC,0.6179,0.797,0.8621,64
SMC_014.wav,SMC,0.6355,0.5385,0.6465,50
SMC_015.wav,SMC,0.2344,0.3048,0.3059,24
SMC_016.wav,SMC,0.2745,0.4483,0.4158,47
SMC_017.wav,SMC,0.2752,0.4615,0.4898,48
SMC_018.wav,SMC,0.4094,0.494,0.4741,56
SMC_019.wav,SMC,0.3797,0.4124,0.5,27
SMC_021.wav,SMC,0.1471,0.4414,0.5043,59
SMC_022.wav,SMC,0.3759,0.5546,0.6118,42
SMC_023.wav,SMC,0.2393,0.3697,0.4167,23
SMC_024.wav,SMC,0.7041,0.7765,0.7516,83
SMC_026.wav,SMC,0.283,0.6585,0.5556,34
SMC_027.wav,SMC,0.1837,0.4844,0.5133,41
SMC_028.wav,SMC,0.543,0.6294,0.6471,70
SMC_030.wav,SMC,0.3731,0.8185,0.7881,132
SMC_032.wav,SMC,0.3562,0.5,0.5455,58
SMC_033.wav,SMC,0.3217,0.449,0.4409,62
SMC_034.wav,SMC,0.7407,0.6481,0.8261,41
SMC_035.wav,SMC,0.2051,0.434,0.1905,38
SMC_036.wav,SMC,0.4237,0.5072,0.5794,40
SMC_037.wav,SMC,0.2667,0.56,0.5238,39
SMC_038.wav,SMC,0.4065,0.432,0.449,40
SMC_041.wav,SMC,0.2097,0.3906,0.3564,45
SMC_042.wav,SMC,0.2979,0.3871,0.4681,31
SMC_043.wav,SMC,0.4094,0.6569,0.6667,56
SMC_044.wav,SMC,0.3125,0.6885,0.7619,49
SMC_046.wav,SMC,0.0826,0.2097,0.2909,43
SMC_047.wav,SMC,0.2969,0.4203,0.4632,57
SMC_048.wav,SMC,0.1589,0.2178,0.3684,22
SMC_051.wav,SMC,0.1818,0.4062,0.4737,42
SMC_052.wav,SMC,0.5167,0.5563,0.3697,61
SMC_054.wav,SMC,0.3604,0.431,0.5263,35
SMC_055.wav,SMC,0.354,0.3191,0.4255,45
SMC_056.wav,SMC,0.3415,0.3176,0.2308,68
SMC_057.wav,SMC,0.1695,0.2941,0.2254,39
